,ball_no,total_innings,mean_runs,cumal_runs,batsman
105,106,10.0,1.0,116.795246586,AbdV
106,107,9.0,1.11111111111,117.906357697,AbdV
107,108,6.0,0.833333333333,118.73969103,AbdV
108,109,5.0,0.6,119.33969103,AbdV
109,110,5.0,0.6,119.93969103,AbdV
110,111,4.0,1.0,120.93969103,AbdV
111,112,4.0,0.75,121.68969103,AbdV
112,113,4.0,2.5,124.18969103,AbdV
113,114,2.0,0.5,124.68969103,AbdV
114,115,2.0,1.5,126.18969103,AbdV
115,116,2.0,2.0,128.18969103,AbdV
116,117,1.0,1.0,129.18969103,AbdV
117,118,1.0,1.0,130.18969103,AbdV
118,119,1.0,1.0,131.18969103,AbdV
119,120,1.0,6.0,137.18969103,AbdV
120,121,1.0,1.0,138.18969103,AbdV
121,122,1.0,6.0,144.18969103,AbdV
122,123,1.0,6.0,150.18969103,AbdV
123,124,1.0,6.0,156.18969103,AbdV
124,125,1.0,1.0,157.18969103,AbdV
125,126,1.0,4.0,161.18969103,AbdV
126,127,1.0,4.0,165.18969103,AbdV
127,128,1.0,1.0,166.18969103,AbdV
128,129,1.0,2.0,168.18969103,AbdV
129,130,1.0,4.0,172.18969103,AbdV
130,131,1.0,2.0,174.18969103,AbdV
131,132,1.0,0.0,174.18969103,AbdV
132,133,1.0,1.0,175.18969103,AbdV
133,134,1.0,0.0,175.18969103,AbdV
0,1,121.0,0.322314049587,0.322314049587,KaneWilliamson
1,2,121.0,0.355371900826,0.677685950413,KaneWilliamson
2,3,118.0,0.516949152542,1.19463510295,KaneWilliamson
3,4,118.0,0.601694915254,1.79633001821,KaneWilliamson
4,5,118.0,0.516949152542,2.31327917075,KaneWilliamson
5,6,118.0,0.669491525424,2.98277069617,KaneWilliamson
6,7,116.0,0.456896551724,3.4396672479,KaneWilliamson
7,8,116.0,0.5,3.9396672479,KaneWilliamson
8,9,112.0,0.6875,4.6271672479,KaneWilliamson
9,10,110.0,0.7,5.3271672479,KaneWilliamson
10,11,110.0,0.718181818182,6.04534906608,KaneWilliamson
11,12,109.0,0.816513761468,6.86186282755,KaneWilliamson
12,13,106.0,0.72641509434,7.58827792189,KaneWilliamson
13,14,104.0,0.740384615385,8.32866253727,KaneWilliamson
14,15,103.0,0.728155339806,9.05681787708,KaneWilliamson
15,16,102.0,0.696078431373,9.75289630845,KaneWilliamson
16,17,99.0,0.767676767677,10.5205730761,KaneWilliamson
17,18,97.0,0.628865979381,11.1494390555,KaneWilliamson
18,19,95.0,0.421052631579,11.5704916871,KaneWilliamson
19,20,93.0,0.623655913978,12.1941476011,KaneWilliamson
20,21,93.0,0.870967741935,13.065115343,KaneWilliamson
21,22,92.0,0.771739130435,13.8368544734,KaneWilliamson
22,23,89.0,0.741573033708,14.5784275071,KaneWilliamson
23,24,87.0,0.793103448276,15.3715309554,KaneWilliamson
24,25,86.0,0.755813953488,16.1273449089,KaneWilliamson
25,26,86.0,0.767441860465,16.8947867694,KaneWilliamson
26,27,85.0,0.811764705882,17.7065514753,KaneWilliamson
27,28,82.0,0.878048780488,18.5846002557,KaneWilliamson
28,29,81.0,0.691358024691,19.2759582804,KaneWilliamson
29,30,79.0,0.620253164557,19.896211445,KaneWilliamson
30,31,78.0,0.871794871795,20.7680063168,KaneWilliamson
31,32,78.0,0.807692307692,21.5756986245,KaneWilliamson
32,33,78.0,0.717948717949,22.2936473424,KaneWilliamson
33,34,76.0,0.881578947368,23.1752262898,KaneWilliamson
34,35,75.0,1.13333333333,24.3085596231,KaneWilliamson
35,36,74.0,0.986486486486,25.2950461096,KaneWilliamson
36,37,72.0,0.597222222222,25.8922683318,KaneWilliamson
37,38,72.0,1.02777777778,26.9200461096,KaneWilliamson
38,39,69.0,0.855072463768,27.7751185734,KaneWilliamson
39,40,69.0,1.04347826087,28.8185968343,KaneWilliamson
40,41,68.0,0.735294117647,29.5538909519,KaneWilliamson
41,42,66.0,0.863636363636,30.4175273155,KaneWilliamson
42,43,64.0,0.921875,31.3394023155,KaneWilliamson
43,44,61.0,1.08196721311,32.4213695286,KaneWilliamson
44,45,61.0,0.967213114754,33.3885826434,KaneWilliamson
45,46,60.0,0.65,34.0385826434,KaneWilliamson
46,47,59.0,0.864406779661,34.9029894231,KaneWilliamson
47,48,57.0,1.0,35.9029894231,KaneWilliamson
48,49,56.0,0.839285714286,36.7422751373,KaneWilliamson
49,50,55.0,1.29090909091,38.0331842283,KaneWilliamson
50,51,55.0,1.25454545455,39.2877296828,KaneWilliamson
51,52,54.0,0.87037037037,40.1581000532,KaneWilliamson
52,53,52.0,1.19230769231,41.3504077455,KaneWilliamson
53,54,51.0,1.13725490196,42.4876626474,KaneWilliamson
54,55,48.0,0.583333333333,43.0709959808,KaneWilliamson
55,56,47.0,1.08510638298,44.1561023638,KaneWilliamson
56,57,46.0,0.869565217391,45.0256675812,KaneWilliamson
57,58,46.0,1.60869565217,46.6343632333,KaneWilliamson
58,59,46.0,1.17391304348,47.8082762768,KaneWilliamson
59,60,46.0,0.760869565217,48.569145842,KaneWilliamson
60,61,45.0,0.733333333333,49.3024791754,KaneWilliamson
61,62,44.0,1.20454545455,50.5070246299,KaneWilliamson
62,63,44.0,0.863636363636,51.3706609935,KaneWilliamson
63,64,42.0,0.761904761905,52.1325657554,KaneWilliamson
64,65,42.0,0.904761904762,53.0373276602,KaneWilliamson
65,66,41.0,1.0487804878,54.086108148,KaneWilliamson
66,67,39.0,1.02564102564,55.1117491736,KaneWilliamson
67,68,39.0,0.897435897436,56.0091850711,KaneWilliamson
68,69,39.0,0.820512820513,56.8296978916,KaneWilliamson
69,70,39.0,1.12820512821,57.9579030198,KaneWilliamson
70,71,37.0,1.13513513514,59.0930381549,KaneWilliamson
71,72,35.0,1.05714285714,60.1501810121,KaneWilliamson
72,73,35.0,1.17142857143,61.3216095835,KaneWilliamson
73,74,34.0,1.20588235294,62.5274919365,KaneWilliamson
74,75,32.0,1.125,63.6524919365,KaneWilliamson
75,76,29.0,1.13793103448,64.7904229709,KaneWilliamson
76,77,29.0,1.34482758621,66.1352505571,KaneWilliamson
77,78,29.0,1.65517241379,67.7904229709,KaneWilliamson
78,79,29.0,1.03448275862,68.8249057296,KaneWilliamson
79,80,29.0,0.724137931034,69.5490436606,KaneWilliamson
80,81,28.0,1.10714285714,70.6561865177,KaneWilliamson
